/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js applyStyle 113 0 269 =======> 0.107123307884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 116 21 281 =======> 0.394596099854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 138 38 312 =======> 0.711979448795
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 147 18 317 =======> 0.457649588585
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 159 5 328 =======> 0.508204936981
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 160 22 329 =======> 0.146091446280
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js init 174 0 340 =======> 0.475104957819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 176 30 346 =======> 0.355342298746
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 178 11 349 =======> 0.162522003055
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js sequencer 186 16 356 =======> 0.753578364849
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 204 3 385 =======> 0.504744887352
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/colors.js nan 205 18 386 =======> 0.174232050776
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 3 20 595 =======> 0.659628987312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 7 20 598 =======> 0.853670775890
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 11 23 606 =======> 0.730034053326
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 15 29 611 =======> 0.736782371998
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 19 22 615 =======> 0.730836093426
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 23 23 620 =======> 0.664679527283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 27 23 625 =======> 0.731441199780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 31 25 630 =======> 0.749230325222
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 35 24 635 =======> 0.728652715683
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 39 25 640 =======> 0.730174541473
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 47 12 652 =======> 0.761414885521
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 48 23 655 =======> 0.752063751221
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js applyTheme 53 2 659 =======> 0.618262290955
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 68 31 667 =======> 0.130289226770
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 76 28 681 =======> 0.754751384258
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/colors.js/lib/extendStringPrototype.js nan 80 36 686 =======> 0.494524657726
