Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/babel-plugin-named-asset-import/index.js replaceMatchingSpecifiers 66 8 195
Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkIfOnline 419 8 1087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js isUsingYarn 52 0 653 =======> 0.567273139954
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js init 58 0 663 =======> 0.043979726732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 63 12 691 =======> 0.446109920740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 78 18 695 =======> 0.586293518543
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 199 11 854 =======> 0.202534481883
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 206 10 865 =======> 0.287493914366
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js createApp 235 0 890 =======> 0.298731714487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js install 333 0 994 =======> 0.615239500999
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 334 21 1001 =======> 0.447079211473
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 384 22 1044 =======> 0.519250333309
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js run 396 0 1056 =======> 0.747575640678
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 409 10 1065 =======> 0.431611597538
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 418 12 1082 =======> 0.449588418007
