/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js createProtoAccessControl 6 7 2257 =======> 0.529874861240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js resultIsAllowed 35 7 2281 =======> 0.418188631535
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js checkWhiteList 43 0 2293 =======> 0.304911464453
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js logUnexpectedPropertyAccessOnce 54 0 2303 =======> 0.180495575070
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js resetLoggedProperties 66 7 2315 =======> 0.607766449451
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/internal/proto-access.js nan 67 40 2321 =======> 0.554642021656
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/logger.js nan 8 15 2355 =======> 0.885480165482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/logger.js nan 22 7 2368 =======> 0.920656502247
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js escapeChar 14 0 2784 =======> 0.000102289414
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js extend 18 7 2789 =======> 0.858875870705
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isFunction 34 7 2812 =======> 0.933475732803
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js testTag 38 0 2817 =======> 0.142826750875
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js nan 40 9 2823 =======> 0.039330068976
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js indexOf 52 7 2841 =======> 0.735685288906
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js escapeExpression 61 7 2853 =======> 0.462731629610
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js isEmpty 84 7 2876 =======> 0.967427134514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/utils.js createFrame 94 7 2886 =======> 0.904392123222
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/ast.js scopedId 24 36 306
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/ast.js nan 7 22 285 =======> 0.878572165966
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/ast.js nan 16 14 295 =======> 0.877549231052
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/ast.js nan 22 14 302 =======> 0.458617687225
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js castChunk 103 12 433
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 20 15 330 =======> 0.205397009850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 28 9 341 =======> 0.978050708771
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 34 13 347 =======> 0.794398128986
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 40 27 352 =======> 0.073231928051
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 43 14 358 =======> 0.483784914017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js castChunk 49 0 360 =======> 0.717468321323
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js CodeGen 64 0 386 =======> 0.730622828007
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 70 9 392 =======> 0.565236926079
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 73 11 395 =======> 0.979617774487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 76 8 399 =======> 0.988635063171
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 80 9 403 =======> 0.916836082935
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 82 14 409 =======> 0.938349187374
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 88 8 413 =======> 0.786853849888
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 94 9 419 =======> 0.970443427563
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 98 8 427 =======> 0.992732226849
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 113 16 437 =======> 0.981020152569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/handlebars.js/lib/handlebars/compiler/code-gen.js nan 118 16 448 =======> 0.958496689796
