/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 113 101 854 =======> 0.000357218494
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 115 79 861 =======> 0.681344032288
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 124 50 873 =======> 0.000000247753
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 125 72 875 =======> 0.000345598644
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 127 100 881 =======> 0.960641860962
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 136 41 895 =======> 0.000000728693
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 137 33 899 =======> 0.000863945636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 138 154 903 =======> 0.001298149000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/async_sign.tests.js nan 140 41 906 =======> 0.877881586552
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js verifyWithAudience 120 8 1103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js signWithAudience 8 0 956 =======> 0.026974966750
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js verifyWithAudience 17 0 969 =======> 0.996157109737
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 21 21 977 =======> 0.000000014059
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 22 54 979 =======> 0.000017589184
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 37 14 991 =======> 0.000118921031
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 38 67 999 =======> 0.025797940791
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 39 39 1003 =======> 0.001814738498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 40 37 1007 =======> 0.000000241143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 49 49 1019 =======> 0.000572637713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 50 87 1023 =======> 0.000363699975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 51 35 1025 =======> 0.000000174682
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 58 48 1031 =======> 0.007856134325
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 59 44 1035 =======> 0.010026606731
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 60 35 1037 =======> 0.000000272766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 70 45 1043 =======> 0.009053475223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 71 53 1045 =======> 0.123741626740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 72 35 1047 =======> 0.000000286227
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 79 45 1053 =======> 0.009148625657
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 80 65 1057 =======> 0.012444513850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 81 35 1059 =======> 0.000000266420
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 89 72 1065 =======> 0.000000047209
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 90 53 1067 =======> 0.000150129155
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 93 17 1071 =======> 0.024906074628
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 94 40 1074 =======> 0.001757615362
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 108 16 1083 =======> 0.000127975116
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 109 98 1089 =======> 0.451608449221
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 110 46 1091 =======> 0.433461636305
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 111 39 1094 =======> 0.000000143183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 119 76 1102 =======> 0.285656660795
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 120 50 1104 =======> 0.988610684872
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 121 37 1106 =======> 0.000000604536
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 128 86 1115 =======> 0.051107671112
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 129 72 1118 =======> 0.968586146832
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 130 37 1120 =======> 0.000000646211
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 137 75 1128 =======> 0.075740747154
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 138 52 1130 =======> 0.979959487915
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 139 37 1132 =======> 0.000000625338
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 146 85 1140 =======> 0.051107231528
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 147 76 1143 =======> 0.968586146832
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 148 37 1145 =======> 0.000000646196
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 157 103 1153 =======> 0.051107462496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 158 70 1156 =======> 0.968586504459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 159 37 1158 =======> 0.000000646170
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 169 83 1166 =======> 0.000030173571
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 172 17 1169 =======> 0.034167200327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 173 53 1173 =======> 0.000929031696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 187 16 1181 =======> 0.000135433205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 188 98 1187 =======> 0.451508462429
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 189 46 1189 =======> 0.418416172266
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-jsonwebtoken/test/claim-aud.test.js nan 190 39 1191 =======> 0.000000527657
