Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/browser-entry.js highlightTags 194 6 294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 636 7 8533 =======> 0.030146813020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/utils.js nan 648 21 8537 =======> 0.000812226150
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js createNoFilesMatchPatternError 96 12 1390
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 31 23 1311 =======> 0.008397172205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 47 27 1319 =======> 0.143847972155
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 49 9 1326 =======> 0.000000185965
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 50 10 1334 =======> 0.003913053777
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js lookupFiles 68 17 1339 =======> 0.999957442284
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 84 13 1367 =======> 0.000006830904
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/cli/lookup-files.js nan 116 35 1409 =======> 0.056317862123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 16 20 2546 =======> 0.001812187722
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 21 21 2554 =======> 0.114273898304
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 34 18 2560 =======> 0.508489549160
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js nan 50 13 2569 =======> 0.057567689568
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createNoFilesMatchPatternError 191 0 2598 =======> 0.778674721718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidReporterError 206 0 2608 =======> 0.002226860262
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidInterfaceError 222 0 2615 =======> 0.099144190550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createUnsupportedError 237 0 2622 =======> 0.999503254890
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMissingArgumentError 253 0 2627 =======> 0.623840451241
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidArgumentTypeError 267 0 2634 =======> 0.136743605137
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidArgumentValueError 287 0 2640 =======> 0.071654774249
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidExceptionError 304 0 2649 =======> 0.021705528721
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createFatalError 320 0 2656 =======> 0.000304897170
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidLegacyPluginError 338 0 2662 =======> 0.001504298183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginError 360 0 2676 =======> 0.000061351202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyDisposedError 372 0 2684 =======> 0.007071163040
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMochaInstanceAlreadyRunningError 390 0 2691 =======> 0.005544869229
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createMultipleDoneError 406 0 2696 =======> 0.001694739563
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createForbiddenExclusivityError 443 0 2724 =======> 0.535003662109
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginDefinitionError 461 0 2732 =======> 0.029879974201
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createInvalidPluginImplementationError 478 0 2738 =======> 0.050155334175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mocha/lib/errors.js createTimeoutError 497 0 2747 =======> 0.003615326015
