/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 161 30 1267 =======> 0.937676310539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 191 7 1292 =======> 0.680261909962
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 194 7 1295 =======> 0.908462882042
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 197 10 1298 =======> 0.822140038013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 200 9 1301 =======> 0.376660883427
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 213 24 1304 =======> 0.860156655312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 214 32 1308 =======> 0.463834077120
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 224 43 1315 =======> 0.252715229988
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 226 11 1320 =======> 0.633535027504
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 231 11 1328 =======> 0.633756995201
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 236 9 1332 =======> 0.589992582798
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js createNullProtoObjWherePossible 511 16 872
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 120 25 587 =======> 0.419668644667
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js resolvePaths 139 0 608 =======> 0.083133749664
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 141 17 616 =======> 0.233015075326
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js getIncludePath 156 0 623 =======> 0.285658031702
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js handleCache 210 0 663 =======> 0.446169793606
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js tryHandleCache 254 0 702 =======> 0.245527490973
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 258 37 714 =======> 0.135310024023
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js fileLoader 292 0 732 =======> 0.266286939383
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js includeFile 309 0 735 =======> 0.216066271067
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js rethrow 340 0 756 =======> 0.126593276858
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 346 44 784 =======> 0.243723392487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js stripSemi 364 0 794 =======> 0.243734940886
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js compile 381 18 798 =======> 0.936176121235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 415 17 816 =======> 0.956300735474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 441 21 830 =======> 0.497251272202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 505 21 865 =======> 0.400839954615
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js Template 509 0 868 =======> 0.127921491861
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 560 15 913 =======> 0.361614406109
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 571 11 931 =======> 0.382485896349
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js anonymous 695 40 1014 =======> 0.153371006250
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 696 20 1018 =======> 0.298011779785
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 721 18 1051 =======> 0.353986769915
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 742 22 1071 =======> 0.329738855362
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 761 21 1085 =======> 0.365906774998
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 788 14 1110 =======> 0.556034386158
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/ejs.js nan 815 12 1120 =======> 0.279234230518
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 29 13 1193 =======> 0.488609373569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 41 28 1202 =======> 0.734632909298
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js encode_char 58 0 1217 =======> 0.033312056214
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 96 20 1224 =======> 0.713744699955
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js escapeXMLToString 103 0 1231 =======> 0.234493210912
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 133 22 1251 =======> 0.907156407833
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 161 30 1267 =======> 0.977103590965
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 191 7 1292 =======> 0.890334784985
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 194 7 1295 =======> 0.946097552776
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 197 10 1298 =======> 0.773137629032
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 200 9 1301 =======> 0.706916153431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 213 24 1304 =======> 0.736220002174
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 214 32 1308 =======> 0.252988129854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 224 43 1315 =======> 0.642324805260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 226 11 1320 =======> 0.898134350777
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 231 11 1328 =======> 0.898000121117
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/lib/utils.js nan 236 9 1332 =======> 0.878592312336
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js run 60 12 1442
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js run 8 0 1358 =======> 0.657178044319
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 12 13 1367 =======> 0.006749143824
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 13 51 1370 =======> 0.050332762301
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 20 62 1384 =======> 0.050332777202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 27 65 1393 =======> 0.050332751125
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 34 62 1402 =======> 0.029473304749
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 41 66 1408 =======> 0.065858133137
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 49 60 1421 =======> 0.064446911216
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/cli.js nan 57 42 1436 =======> 0.063905335963
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js compile 67 13 1528
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js hook_stdio 25 0 1480 =======> 0.165543213487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 28 18 1488 =======> 0.160732433200
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 29 11 1490 =======> 0.168031573296
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 34 9 1496 =======> 0.166204467416
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js fixture 43 0 1497 =======> 0.982091724873
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 65 35 1523 =======> 0.009649310261
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 66 32 1525 =======> 0.018942948431
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 71 28 1534 =======> 0.019002350047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 76 43 1540 =======> 0.042463205755
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 94 48 1566 =======> 0.019644366577
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ejs/test/ejs.js nan 106 54 1585 =======> 0.022069878876
