/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 10 10 403 =======> 0.001216703211
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 85 15 519 =======> 0.591785192490
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 100 22 540 =======> 0.001089466386
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 103 26 543 =======> 0.001248210552
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 106 19 546 =======> 0.000039077699
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 111 8 550 =======> 0.996703445911
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 114 19 555 =======> 0.910435616970
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 122 8 565 =======> 0.941980123520
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 125 9 568 =======> 0.989885449409
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 131 9 575 =======> 0.995847582817
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 134 35 581 =======> 0.519666194916
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 136 21 585 =======> 0.973527371883
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 141 52 592 =======> 0.852013051510
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 146 6 598 =======> 0.056379377842
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 152 52 609 =======> 0.047041393816
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 162 11 626 =======> 0.228328496218
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 170 21 633 =======> 0.089621692896
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 174 22 637 =======> 0.006971452851
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 176 54 641 =======> 0.003084936878
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 179 57 647 =======> 0.180087432265
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 180 57 650 =======> 0.200489789248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 186 27 658 =======> 0.825493395329
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 188 47 665 =======> 0.047405820340
