/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 468 35 1044 =======> 0.000019646061
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js parseOptions 80 12 334
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js nan 5 13 287 =======> 0.962704777718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js _chmod 68 0 317 =======> 0.003076810157
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js addFile 93 24 347 =======> 0.777482390404
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js nan 100 47 366 =======> 0.657264709473
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js innerChmod 110 16 370 =======> 0.348707586527
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/chmod.js nan 130 30 404 =======> 0.879736959934
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 32 9 660 =======> 0.001337468508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 38 19 665 =======> 0.001967669697
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js isObject 58 0 677 =======> 0.960052669048
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js log 63 0 682 =======> 0.989746689796
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js convertErrorOutput 74 0 690 =======> 0.971937060356
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js CommandError 84 0 701 =======> 0.953971385956
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js error 92 0 709 =======> 0.996411025524
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js ShellString 150 0 754 =======> 0.929452717304
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 164 22 769 =======> 0.801974177361
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js parseOptions 178 0 774 =======> 0.995687305927
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 198 27 804 =======> 0.955795943737
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 215 18 823 =======> 0.844886898994
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 228 29 833 =======> 0.197364777327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js expand 254 0 843 =======> 0.933648765087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 259 15 856 =======> 0.629394710064
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 283 2 881 =======> 0.761652529240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js nan 286 2 885 =======> 0.766841173172
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js unlinkSync 293 0 888 =======> 0.972150743008
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statFollowLinks 311 0 899 =======> 0.787422955036
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js statNoFollowLinks 316 0 904 =======> 0.960122466087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomFileName 322 0 909 =======> 0.525395989418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js randomHash 323 2 911 =======> 0.559273779392
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/src/common.js wrap 340 0 933 =======> 0.959933161736
