Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js promise 696 0 1429 =======> 0.988164067268
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 717 15 1445 =======> 0.036261558533
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 723 31 1447 =======> 0.140781357884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 738 9 1449 =======> 0.082436159253
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 742 25 1455 =======> 0.212637215853
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 743 34 1462 =======> 0.959997713566
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js race 759 0 1467 =======> 0.005371228326
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 760 19 1471 =======> 0.278684973717
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 772 25 1479 =======> 0.011342383921
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js Promise 788 0 1483 =======> 0.978991031647
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 790 19 1487 =======> 0.955221295357
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 797 18 1493 =======> 0.995325207710
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 804 30 1498 =======> 0.983686268330
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 829 26 1514 =======> 0.977460026741
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 842 29 1521 =======> 0.140781357884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 846 25 1523 =======> 0.991048812866
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js _fulfilled 852 4 1532 =======> 0.129025667906
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js _rejected 860 4 1542 =======> 0.064956560731
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js _progressed 872 4 1556 =======> 0.449171543121
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 876 15 1563 =======> 0.940418064594
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 877 29 1565 =======> 0.995254755020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 884 20 1571 =======> 0.940500915051
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 895 50 1580 =======> 0.978857934475
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 917 8 1597 =======> 0.012710968964
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 933 24 1601 =======> 0.128585293889
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 936 21 1605 =======> 0.022490836680
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js when 958 0 1612 =======> 0.094350516796
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 962 32 1616 =======> 0.022064054385
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 963 21 1619 =======> 0.016530061141
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 966 16 1621 =======> 0.009526304901
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 970 31 1626 =======> 0.057030517608
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 971 21 1629 =======> 0.028936650604
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 974 15 1631 =======> 0.031138824299
