/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createElementTypeChecker 274 2 375 =======> 0.156171858311
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 275 4 376 =======> 0.057559270412
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createElementTypeTypeChecker 286 2 388 =======> 0.282590210438
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 287 4 389 =======> 0.054380714893
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createInstanceTypeChecker 298 2 402 =======> 0.053933441639
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 299 4 404 =======> 0.037431057543
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createEnumTypeChecker 310 2 418 =======> 0.032275386155
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 325 4 429 =======> 0.081096060574
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js replacer 333 56 442 =======> 0.293666481972
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createObjectOfTypeChecker 345 2 459 =======> 0.039932038635
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 346 4 460 =======> 0.056377246976
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createUnionTypeChecker 368 2 482 =======> 0.064246013761
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 385 4 502 =======> 0.076351962984
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createNodeChecker 403 2 528 =======> 0.133574426174
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 404 4 529 =======> 0.044728625566
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js invalidValidatorError 413 2 539 =======> 0.232481375337
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createShapeTypeChecker 420 2 543 =======> 0.055526953191
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 421 4 545 =======> 0.059705559164
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createStrictShapeTypeChecker 442 2 567 =======> 0.049344874918
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 443 4 568 =======> 0.071742348373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isNode 474 2 604 =======> 0.532287597656
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isSymbol 521 2 656 =======> 0.279167473316
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPropType 546 2 669 =======> 0.753000378609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPreciseType 565 2 682 =======> 0.572176218033
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPostfixForTypeWarning 582 2 695 =======> 0.250214189291
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getClassName 598 2 708 =======> 0.274288594723
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createChainableTypeChecker 295 11 401
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 10 19 3 =======> 0.383456140757
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 17 17 18 =======> 0.113469995558
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js checkPropTypes 42 0 33 =======> 0.026185557246
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 97 35 72 =======> 0.027983270586
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 17 19 169 =======> 0.684361100197
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 20 17 174 =======> 0.409213334322
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js emptyFunctionThatReturnsNull 34 0 189 =======> 0.073879398406
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js nan 38 17 194 =======> 0.235595032573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getIteratorFn 57 2 204 =======> 0.169301897287
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js is 143 2 260 =======> 0.222093284130
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js PropTypeError 163 2 266 =======> 0.884085297585
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createChainableTypeChecker 171 2 274 =======> 0.811744689941
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js checkType 176 4 283 =======> 0.046331103891
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createPrimitiveTypeChecker 229 2 323 =======> 0.782008171082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 230 4 325 =======> 0.053369306028
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createAnyTypeChecker 249 2 343 =======> 0.121551536024
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createArrayOfTypeChecker 253 2 346 =======> 0.070013128221
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 254 4 348 =======> 0.054760795087
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createElementTypeChecker 274 2 375 =======> 0.159335866570
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 275 4 376 =======> 0.059974983335
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createElementTypeTypeChecker 286 2 388 =======> 0.306573867798
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 287 4 389 =======> 0.057002332062
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createInstanceTypeChecker 298 2 402 =======> 0.057023867965
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 299 4 404 =======> 0.039281770587
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createEnumTypeChecker 310 2 418 =======> 0.035573653877
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 325 4 429 =======> 0.079872116446
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js replacer 333 56 442 =======> 0.319985806942
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createObjectOfTypeChecker 345 2 459 =======> 0.041747681797
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 346 4 460 =======> 0.058038603514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createUnionTypeChecker 368 2 482 =======> 0.066394969821
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 385 4 502 =======> 0.075419522822
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createNodeChecker 403 2 528 =======> 0.144505843520
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 404 4 529 =======> 0.047744814306
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js invalidValidatorError 413 2 539 =======> 0.223981663585
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createShapeTypeChecker 420 2 543 =======> 0.055787563324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 421 4 545 =======> 0.060634505004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js createStrictShapeTypeChecker 442 2 567 =======> 0.050606738776
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js validate 443 4 568 =======> 0.071716062725
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isNode 474 2 604 =======> 0.503115057945
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js isSymbol 521 2 656 =======> 0.266802102327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPropType 546 2 669 =======> 0.730491161346
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPreciseType 565 2 682 =======> 0.567514717579
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getPostfixForTypeWarning 582 2 695 =======> 0.240437626839
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js getClassName 598 2 708 =======> 0.269199699163
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/factoryWithTypeCheckers.js printWarning 319 10 427
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 10 19 3 =======> 0.637770771980
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js nan 17 17 18 =======> 0.317256838083
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/prop-types/checkPropTypes.js checkPropTypes 42 0 33 =======> 0.074899204075
