/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 20 23 174 =======> 0.171778798103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 36 24 195 =======> 0.318620502949
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 50 24 205 =======> 0.375972896814
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 81 19 224 =======> 0.214454978704
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 126 27 278 =======> 0.106574490666
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 143 28 292 =======> 0.013485437259
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js paramsHaveRequestBody 11 0 802 =======> 0.399016886950
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js safeStringify 20 0 811 =======> 0.486714541912
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js md5 30 0 825 =======> 0.892098784447
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js isReadStream 34 0 835 =======> 0.000290749304
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js toBase64 38 0 842 =======> 0.731864035130
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js copy 42 0 849 =======> 0.375213444233
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js nan 44 27 859 =======> 0.056522015482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js version 50 0 862 =======> 0.835723340511
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js basic 157 13 315
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js Auth 10 0 164 =======> 0.163597613573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 20 23 174 =======> 0.392759025097
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 36 24 195 =======> 0.572140693665
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 50 24 205 =======> 0.741108834743
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 81 19 224 =======> 0.328355401754
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 126 27 278 =======> 0.317978262901
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/auth.js nan 143 28 292 =======> 0.058497611433
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js paramsHaveRequestBody 11 0 802 =======> 0.653096199036
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js safeStringify 20 0 811 =======> 0.733290076256
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js md5 30 0 825 =======> 0.959086537361
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js isReadStream 34 0 835 =======> 0.000670841662
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js toBase64 38 0 842 =======> 0.893183231354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js copy 42 0 849 =======> 0.636916637421
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js nan 44 27 859 =======> 0.101783581078
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js version 50 0 862 =======> 0.920937716961
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js RequestJar 37 9 381
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 8 16 334 =======> 0.866530835629
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js RequestJar 19 0 347 =======> 0.567044198513
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 23 33 358 =======> 0.251603156328
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 27 39 367 =======> 0.807090282440
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 31 34 373 =======> 0.203512027860
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 36 14 379 =======> 0.923568785191
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js add 89 4 996
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js Multipart 8 0 894 =======> 0.006108206231
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 15 32 903 =======> 0.281910628080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 33 18 926 =======> 0.396122783422
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 46 33 936 =======> 0.218452200294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 66 28 960 =======> 0.735190987587
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js add 70 2 966 =======> 0.573423147202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 81 16 984 =======> 0.570577859879
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 83 30 991 =======> 0.074262112379
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/multipart.js nan 101 32 1004 =======> 0.180092111230
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js concatParams 130 57 1209
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js OAuth 11 0 1035 =======> 0.164092242718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 16 30 1041 =======> 0.309826344252
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 64 32 1114 =======> 0.255384683609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 77 31 1140 =======> 0.644155681133
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 80 38 1150 =======> 0.483432739973
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 89 20 1162 =======> 0.639074683189
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/oauth.js nan 94 28 1167 =======> 0.082577154040
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js Har 105 16 1761
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 8 16 334 =======> 0.003868029453
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js RequestJar 19 0 347 =======> 0.001742201392
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 23 33 358 =======> 0.000222234477
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 27 39 367 =======> 0.002225966193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 31 34 373 =======> 0.000210727085
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/cookies.js nan 36 14 379 =======> 0.005621086340
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/getProxyFromURI.js formatHostname 3 0 383 =======> 0.000988246175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/getProxyFromURI.js parseNoProxyZone 8 0 391 =======> 0.000254512124
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/getProxyFromURI.js uriInNoProxy 19 0 414 =======> 0.000022128854
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/getProxyFromURI.js nan 25 48 431 =======> 0.000371002185
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/getProxyFromURI.js getProxyFromURI 40 0 443 =======> 0.000112637870
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/hawk.js randomString 5 0 654 =======> 0.008024965413
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/hawk.js calculatePayloadHash 12 0 677 =======> 0.100682042539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/hawk.js nan 21 23 703 =======> 0.012907665223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/hawk.js nan 46 17 734 =======> 0.014571885578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js paramsHaveRequestBody 11 0 802 =======> 0.030345892534
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js safeStringify 20 0 811 =======> 0.308544576168
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js md5 30 0 825 =======> 0.263772308826
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js isReadStream 34 0 835 =======> 0.000967836240
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js toBase64 38 0 842 =======> 0.167898461223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js copy 42 0 849 =======> 0.048778291792
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js nan 44 27 859 =======> 0.003106616670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/lib/helpers.js version 50 0 862 =======> 0.089493833482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js filterForNonReserved 43 0 1702 =======> 0.000147509534
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js filterOutReservedFunctions 57 0 1719 =======> 0.000147837476
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js requestToJSON 73 0 1736 =======> 0.014012853615
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js responseToJSON 83 0 1745 =======> 0.001921984134
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js Request 93 0 1755 =======> 0.001493487041
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js debug 134 0 1801 =======> 0.988061904907
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 141 25 1810 =======> 0.001036997768
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 180 20 1843 =======> 0.020022964105
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 322 26 1984 =======> 0.237748935819
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 391 53 2049 =======> 0.008098792285
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 396 57 2066 =======> 0.009509820491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js setContentLength 419 2 2086 =======> 0.000882507942
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 429 34 2105 =======> 0.236016452312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 493 18 2165 =======> 0.001521231141
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 523 8 2195 =======> 0.013099844567
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 528 14 2201 =======> 0.068186029792
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 545 30 2224 =======> 0.008823953569
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 571 27 2253 =======> 0.034575819969
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 585 32 2263 =======> 0.002483304124
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 708 26 2328 =======> 0.022431630641
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 777 23 2383 =======> 0.038467798382
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 781 24 2386 =======> 0.007336190902
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 788 29 2397 =======> 0.050096239895
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/request.js nan 792 30 2401 =======> 0.025839133188
