/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.131896778941
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.051876440644
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.064725816250
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.015266976319
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.159420207143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.163543015718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 6 50 386 =======> 0.000503776711
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 17 54 402 =======> 0.000495152082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 28 41 415 =======> 0.000506189943
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 39 45 425 =======> 0.000497704023
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 50 41 437 =======> 0.000506774813
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 62 47 447 =======> 0.000501779898
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 74 43 457 =======> 0.000877788174
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/array.js nan 97 49 479 =======> 0.000880948617
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js parse 7 12 512
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js hasKey 3 0 13 =======> 0.026308890432
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 5 27 24 =======> 0.040370002389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isNumber 13 0 30 =======> 0.049961395562
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isConstructorOrProto 19 0 42 =======> 0.189055189490
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 23 17 48 =======> 0.998750090599
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 39 50 76 =======> 0.024008730426
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isBooleanKey 46 1 80 =======> 0.103441856802
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 53 27 90 =======> 0.236240521073
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 58 39 97 =======> 0.156686544418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 60 23 101 =======> 0.184041306376
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 61 49 105 =======> 0.119606412947
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 67 48 113 =======> 0.040974717587
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.034286927432
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.059383496642
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.039738323539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.603078961372
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.202035278082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.169276982546
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.204325720668
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.026482487097
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.239648133516
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.244433701038
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 6 35 508 =======> 0.001840420766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 24 23 532 =======> 0.001650472754
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 42 44 552 =======> 0.026291947812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 61 50 581 =======> 0.026795843616
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 84 46 609 =======> 0.025900021195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 105 29 628 =======> 0.010951031931
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/bool.js nan 122 29 645 =======> 0.004420237150
