/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.921406388283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.997223258018
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.874261498451
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.928427398205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.919717788696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.995954751968
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.880729794502
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.783694922924
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 154 13 914 =======> 0.996499657631
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 163 10 922 =======> 0.716714978218
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 189 18 930 =======> 0.057184796780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onMessage 203 16 946 =======> 0.000498941634
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onClose 212 16 959 =======> 0.000232312857
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onError 223 16 969 =======> 0.000359466998
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onOpen 233 16 976 =======> 0.000337904203
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 260 21 990 =======> 0.000670703303
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 286 0 1002 =======> 0.000754562032
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 220 8 967
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.547868013382
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.039143960923
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.717763841152
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.036878958344
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.015330556780
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.134467914701
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.077773213387
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.084410317242
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.007334614638
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.127893149853
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.224497169256
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 154 13 914 =======> 0.013172495179
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 163 10 922 =======> 0.363038212061
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 189 18 930 =======> 0.961520671844
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onMessage 203 16 946 =======> 0.466562867165
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onClose 212 16 959 =======> 0.183496192098
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onError 223 16 969 =======> 0.224150449038
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onOpen 233 16 976 =======> 0.266339600086
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 260 21 990 =======> 0.545929014683
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 286 0 1002 =======> 0.762485980988
Total edge above 0.9 ===>  2


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js ErrorEvent 224 22 972
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.004176435061
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.997949779034
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.521586239338
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.673272907734
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.996608734131
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.450278639793
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.613519191742
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.583447933197
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.993372321129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.467547655106
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.302419632673
