/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js read 57 5 2440 =======> 0.579897224903
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/tail-file.js nan 63 56 2449 =======> 0.349031865597
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 33 13 2656 =======> 0.327364832163
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js throwIf 41 4 2663 =======> 0.923811018467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 42 28 2672 =======> 0.845605432987
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 98 16 2739 =======> 0.016720626503
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 101 26 2744 =======> 0.000128196552
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 102 38 2746 =======> 0.000412592170
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 103 23 2751 =======> 0.000057589452
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 106 36 2755 =======> 0.000621971732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 107 21 2758 =======> 0.000116112387
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 118 5 2762 =======> 0.027388298884
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 118 23 2766 =======> 0.013128528371
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 130 33 2773 =======> 0.001465416281
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 137 34 2779 =======> 0.001193776145
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 148 26 2789 =======> 0.005689539481
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 156 33 2797 =======> 0.000792037463
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 160 28 2802 =======> 0.001353569911
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js logged 179 4 2818 =======> 0.000346045388
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 201 24 2833 =======> 0.000398318807
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 209 22 2837 =======> 0.000495351560
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 225 33 2852 =======> 0.001794040320
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 246 7 2860 =======> 0.059571020305
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 262 23 2884 =======> 0.038815293461
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 273 22 2899 =======> 0.185493320227
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 288 23 2917 =======> 0.001472209929
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js add 300 4 2926 =======> 0.017699651420
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js push 313 4 2943 =======> 0.012240935117
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 326 36 2953 =======> 0.868653357029
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js check 340 4 2963 =======> 0.008974030614
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js normalizeQuery 361 4 2981 =======> 0.199519455433
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 395 8 2993 =======> 0.370670050383
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 403 36 3004 =======> 0.082113400102
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 424 6 3017 =======> 0.010113407858
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 433 14 3025 =======> 0.003299615579
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 441 24 3034 =======> 0.000228591889
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 456 6 3042 =======> 0.002746279351
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 460 22 3050 =======> 0.007252536248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 476 29 3069 =======> 0.000456117821
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 491 7 3074 =======> 0.002468270482
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 496 21 3080 =======> 0.000220299058
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 510 15 3086 =======> 0.013127725571
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 520 10 3089 =======> 0.002950119320
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 529 14 3092 =======> 0.660413742065
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 540 16 3097 =======> 0.161667600274
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 549 13 3103 =======> 0.002756000729
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 550 18 3105 =======> 0.009123330936
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/winston/lib/winston/transports/file.js nan 560 12 3108 =======> 0.002141362522
